Date,Time ,X,Y,Z
2023-02-25 18:54:46.640,"Time: 71 ms, ",16.25,-100.31,-11.41
2023-02-25 18:54:46.710,"Time: 71 ms, ",19.3,-99.83,-8.03
2023-02-25 18:54:46.781,"Time: 70 ms, ",18.96,-98.47,-9.13
2023-02-25 18:54:46.852,"Time: 71 ms, ",17.58,-101.82,-12.06
2023-02-25 18:54:46.922,"Time: 71 ms, ",14.25,-103.87,-13.42
2023-02-25 18:54:46.993,"Time: 71 ms, ",17.91,-98.23,-14.18
2023-02-25 18:54:47.064,"Time: 70 ms, ",18.01,-103.69,-9.24
2023-02-25 18:54:47.135,"Time: 71 ms, ",18.73,-97.41,-11.15
2023-02-25 18:54:47.205,"Time: 71 ms, ",19.7,-100.09,-18.4
2023-02-25 18:54:47.276,"Time: 70 ms, ",17.21,-99.89,-18.47
2023-02-25 18:54:47.347,"Time: 71 ms, ",17.76,-102.36,-9.14
2023-02-25 18:54:47.417,"Time: 71 ms, ",18.65,-100.66,-7.82
2023-02-25 18:54:47.488,"Time: 71 ms, ",18.35,-101.37,-15.45
2023-02-25 18:54:47.559,"Time: 70 ms, ",18.26,-98.67,-11.73
2023-02-25 18:54:47.630,"Time: 71 ms, ",17.6,-99.08,-13.83
2023-02-25 18:54:47.700,"Time: 71 ms, ",17.64,-100.95,-13.59
2023-02-25 18:54:47.771,"Time: 71 ms, ",20.06,-95.89,-10.24
2023-02-25 18:54:47.842,"Time: 70 ms, ",17.86,-100.93,-10.68
2023-02-25 18:54:47.913,"Time: 71 ms, ",19.47,-98.57,-16.83
2023-02-25 18:54:47.983,"Time: 71 ms, ",18.37,-101.55,-12.63
2023-02-25 18:54:48.054,"Time: 70 ms, ",16.05,-105.08,-8.36
2023-02-25 18:54:48.125,"Time: 71 ms, ",17.07,-97.61,-12.01
2023-02-25 18:54:48.195,"Time: 71 ms, ",18.02,-97.49,-12.85
2023-02-25 18:54:48.266,"Time: 71 ms, ",16.85,-101.72,-12.66
2023-02-25 18:54:48.337,"Time: 70 ms, ",18.35,-98.32,-14.55
2023-02-25 18:54:48.408,"Time: 71 ms, ",19.23,-100.24,-7.28
2023-02-25 18:54:48.478,"Time: 71 ms, ",17.29,-98.19,-9.11
2023-02-25 18:54:48.549,"Time: 71 ms, ",18.44,-98.84,-14.89
2023-02-25 18:54:48.620,"Time: 70 ms, ",17.65,-97.83,-13.57
2023-02-25 18:54:48.690,"Time: 71 ms, ",17.24,-102.76,-11.34
